1,2,3,4,5,6,6 Express,7,7 Express,A,B,C,D,E,F,G,J,L,M,N,Q,R,S,Z,x,y,name
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-73.9627829996,40.6350423347,1515 Foster Avenue (Enter From Newkirk Ave Pz)
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,-73.927640999,40.7522193326,37-01 36 Street (To Manhattan And Brooklyn Only)
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-73.9946119997,40.6363753335,4902 12 Avenue
0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-74.0082240002,40.7126123321,1 Barclay Street (Enter On Park Place)
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-73.9671160176,40.6836774386,486 Clinton Avenue (To Manhattan Only)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-73.9757771957,40.6245641977,1175 Mc Donald Avenue
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-73.8162990341,40.700970879,135-02 89 Avenue
0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,-73.8907141533,40.7465550607,40-02 75 Street
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-73.9296669981,40.6936723327,1122 Broadway
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,-73.9835669981,40.7602973327,729 7 Avenue (Uptown Only)
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73.990650001,40.7502833339,421 7 Avenue
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73.9911299998,40.7496563334,401 7 Avenue
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-73.9505447052,40.7054714394,502 Broadway
0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,-74.0084279997,40.7106923345,2 Ann Street
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73.9908539987,40.7503133341,421 7 Avenue
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-73.8524399969,40.6934323325,92-20 Jamaica Avenue
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73.9193140005,40.807767335,235 Brook Avenue (To Manhattan Only)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-73.9760374659,40.6261451529,101 Avenue I
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-73.9792400002,40.6427153336,102 Beverly Road
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-73.9761460009,40.7604223341,656 5 Avenue
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-73.9413589629,40.6797778957,1490 Fulton Street (To Queens Only)
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73.9931379989,40.7470363337,311 7 Avenue (Uptown Only)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74.239006803,40.5178326938,Nassau Pl & Averill Pl At Sw Corner
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74.0767191494,40.6447248796,75 Richmond Terrace
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,-73.9580099985,40.7085893334,295 Broadway (To Manhattan Only)
0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-74.0037470018,40.7255833351,166 6 Avenue
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-73.9074809997,40.7028363321,701 Seneca Avenue
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73.8838289976,40.7478173342,82-01 Roosevelt Avenue
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74.0088788186,40.7067999542,47 Pine Street
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73.8962340009,40.8165533323,1025 Longwood Avenue (To Manhattan Only)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-73.9516544032,40.6900250261,573 Lafayette Avenue
0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-73.9729180012,40.7808953324,180 Central Park West
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73.9272660001,40.8657583332,4761 Broadway
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73.8560169997,40.751698332,39-16 111 Street
0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,-74.001617,40.7194713325,418 Broadway
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-73.9620489581,40.660858702,462 Flatbush Avenue (Enter From Lincoln Rd)
1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-73.9828150008,40.7664523325,956 8 Avenue
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-73.9112740007,40.683181333,1720 Broadway
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-73.9670950819,40.6833885898,856 Fulton Street (To Queens Only)
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,-73.9379790002,40.7491433321,42-01 28 Street
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-73.9106340008,40.6780543349,2154 Fulton Street
0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-74.0040990018,40.7126993346,1 Centre Street
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-73.9505920008,40.7237153322,626 Manhattan Avenue
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-73.9601495342,40.6887632333,344 Classon Avenue
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-73.9421320006,40.7540693324,40-33 21 Street
1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-73.9817170011,40.7687013325,1824 Broadway
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-73.9490800005,40.693979332,602 Marcy Avenue
0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,-73.9676369985,40.7626413322,131 East 60 Street
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73.9475063335,40.6330346173,2137 Nostrand Avenue
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73.974762999,40.6806753343,70 6 Avenue (To Manhattan Only)
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73.9479280011,40.6332513338,Nostrand Ave & Flatbush Ave At Nw Corner
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73.9475060004,40.6328583334,Nostrand Ave & Flatbush Ave At Ne Corner
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73.9494160017,40.6506633338,Nostrand Ave & Church Ave At Se Corner (To Manhattan Only)
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73.9504739987,40.6681283346,Nostrand Ave & President St At Ne Corner
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73.9503889993,40.6698043332,Nostrand Ave & Eastern Pkwy At Se Corner
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-73.9494229995,40.6954393324,Marcy Ave & Myrtle Ave At Nw Corner
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73.9337889975,40.669027332,Schenectady Ave & Eastern Pkwy At Ne Corner
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73.9310288422,40.6686804696,Utica Ave & Eastern Pkwy At Se Corner
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-73.9354525779,40.6968519341,Broadway & Myrtle Ave At Nw Corner
