geometry,line,name,url,1,2,3,4,5,6,6 Express,7,7 Express,@,A,B,C,D,E,F,G,J,L,M,N,Q,R,S,Z
POINT (-73.95569777997811 40.68103491621316),A-C-S,Franklin Ave & Fulton St At Sw Corner,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
POINT (-73.9577203183142 40.67092662523547),2-3-4-5-S,Franklin Ave & Eastern Pkwy At Ne Corner,http://www.mta.info/nyct/service/,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
POINT (-73.98665300003906 40.70132133411788),F,Jay St & York St At Sw Corner,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
POINT (-73.98827785776714 40.71875307403234),F-J-M-Z,Essex St & Delancey St At Nw Corner,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True
POINT (-73.98136070401206 40.68986468780064),B-D-N-Q-R,Flatbush Ave & De Kalb Ave At Se Corner,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,True,False,False
POINT (-73.81401044668934 40.58772910999135),A-S,Beach 90th St & Rockaway Frwy At Se Corner,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
POINT (-73.98891297872152 40.69916149839492),A-C,Red Cross Pl & Adams St At Sw Corner,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
POINT (-73.98827070476256 40.699258549662),A-C,Sands St & Adams St At Se Corner,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
POINT (-73.99060228644079 40.69260441214509),2-3-4-5-N-R,Court St & Joralemon St At Ne Corner,http://www.mta.info/nyct/service/,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
POINT (-73.81182900070576 40.70534033363626),F,144-01 Hillside Avenue,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
POINT (-73.96278299962148 40.63504233468711),B-Q,1515 Foster Avenue (Enter From Newkirk Ave Pz),http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
POINT (-73.92764099903127 40.75221933259898),E-M-R,37-01 36 Street (To Manhattan And Brooklyn Only),http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
POINT (-73.99461199971715 40.63637533348671),D,4902 12 Avenue,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
POINT (-74.00822400016119 40.71261233208489),2-3-A-C-E,1 Barclay Street (Enter On Park Place),http://www.mta.info/nyct/service/,False,True,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False
POINT (-73.96711601759309 40.68367743863933),A-C,486 Clinton Avenue (To Manhattan Only),http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
POINT (-73.97577719571558 40.62456419774767),F,1175 Mc Donald Avenue,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
POINT (-73.81629903408636 40.70097087901288),E,135-02 89 Avenue,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
POINT (-73.89071415330048 40.74655506070698),7-E-F-M-R,40-02 75 Street,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False
