District,Year,Total Enrollment,Grade PK,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Other,% Other,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty
09,2013-14,36813,1898,3060,3192,3132,3023,2781,2638,2807,2880,2921,2382,2360,2027,1712,18064,49.1%,18749,50.9%,484,1.3%,11216,30.5%,24525,66.6%,271,0.7%,317,0.9%,7347,20.0%,8435,22.9%,35039,95.2%
09,2014-15,37312,2464,3005,3128,3132,3001,2902,2675,2723,2861,2834,2420,2284,2038,1845,18182,48.7%,19130,51.3%,539,1.4%,11207,30.0%,24841,66.6%,266,0.7%,459,1.2%,7620,20.4%,8195,22.0%,35167,94.3%
09,2015-16,37439,2766,3013,3045,2994,3010,2945,2812,2668,2750,2848,2474,2278,1967,1869,18375,49.1%,19064,50.9%,521,1.4%,11007,29.4%,25209,67.3%,281,0.8%,421,1.1%,7413,19.8%,8155,21.8%,34597,92.4%
10,2011-12,58997,2689,4397,4579,4288,4157,3934,4082,4035,3769,3765,5708,5298,4270,4026,29079,49.3%,29918,50.7%,4513,7.6%,11121,18.9%,39621,67.2%,380,0.6%,3362,5.7%,9943,16.9%,12568,21.3%,50377,85.4%
10,2012-13,57445,2164,4428,4644,4351,4157,3988,3838,3777,3891,3839,5312,4937,3992,4127,28084,48.9%,29361,51.1%,4434,7.7%,10404,18.1%,38858,67.6%,501,0.9%,3248,5.7%,10142,17.7%,12001,20.9%,50466,87.9%
10,2013-14,57339,2210,4456,4778,4550,4270,4113,4013,3714,3673,4005,4932,4639,3845,4141,28119,49.0%,29220,51.0%,4323,7.5%,10217,17.8%,38804,67.7%,667,1.2%,3328,5.8%,10895,19.0%,11724,20.4%,50468,88.0%
10,2014-15,57714,3032,4566,4641,4516,4443,4264,4075,3758,3716,3747,4870,4481,3731,3874,28202,48.9%,29512,51.1%,4299,7.4%,9852,17.1%,39242,68.0%,782,1.4%,3539,6.1%,11244,19.5%,11537,20.0%,50473,87.5%
10,2015-16,57738,3652,4260,4648,4574,4407,4401,4134,3713,3734,3704,4666,4343,3756,3746,28143,48.7%,29595,51.3%,4216,7.3%,9546,16.5%,39707,68.8%,934,1.6%,3335,5.8%,10848,18.8%,10954,19.0%,49481,85.7%
11,2011-12,39545,1750,2928,3300,3177,3275,3121,3245,3081,3034,3022,3266,2730,1842,1774,18828,47.6%,20717,52.4%,2721,6.9%,17014,43.0%,16505,41.7%,426,1.1%,2879,7.3%,6735,17.0%,3965,10.0%,33961,85.9%
11,2012-13,39811,1818,3110,3313,3299,3267,3098,3115,3124,3050,3057,3202,2753,1696,1909,18994,47.7%,20817,52.3%,2781,7.0%,17043,42.8%,16472,41.4%,529,1.3%,2986,7.5%,6915,17.4%,3845,9.7%,34610,86.9%
11,2013-14,39954,1952,3159,3417,3285,3280,3163,3065,2993,3159,3069,3087,2722,1837,1766,18966,47.5%,20988,52.5%,2894,7.2%,16908,42.3%,16536,41.4%,643,1.6%,2973,7.4%,7483,18.7%,3739,9.4%,35129,87.9%
11,2014-15,41182,2890,3175,3414,3371,3247,3263,3114,2928,3007,3171,3039,2661,1944,1958,19769,48.0%,21413,52.0%,3047,7.4%,17363,42.2%,16640,40.4%,748,1.8%,3384,8.2%,7782,18.9%,3803,9.2%,35657,86.6%
11,2015-16,41390,3209,3118,3387,3425,3329,3230,3282,2944,2937,3096,2944,2552,1906,2031,19833,47.9%,21557,52.1%,3083,7.4%,17056,41.2%,17131,41.4%,764,1.8%,3356,8.1%,7571,18.3%,3911,9.4%,35038,84.7%
12,2011-12,24353,1435,1896,1976,1865,1889,1795,1831,1800,1754,1898,1920,1788,1479,1027,12168,50.0%,12185,50.0%,481,2.0%,6734,27.7%,16683,68.5%,190,0.8%,265,1.1%,4552,18.7%,4642,19.1%,22576,92.7%
12,2012-13,24466,1421,1891,2013,1927,1866,1808,1764,1782,1800,1788,1871,1927,1431,1177,12149,49.7%,12317,50.3%,479,2.0%,6625,27.1%,16844,68.8%,257,1.1%,261,1.1%,4679,19.1%,4551,18.6%,22946,93.8%
12,2013-14,24653,1415,1955,2069,1930,1976,1795,1764,1717,1794,1785,1777,1828,1578,1270,12164,49.3%,12489,50.7%,500,2.0%,6646,27.0%,16908,68.6%,316,1.3%,283,1.1%,4941,20.0%,4369,17.7%,23169,94.0%
12,2014-15,25000,1631,1956,2051,2000,1857,1986,1701,1680,1736,1796,1907,1808,1523,1368,12278,49.1%,12722,50.9%,542,2.2%,6633,26.5%,17054,68.2%,357,1.4%,414,1.7%,5154,20.6%,4521,18.1%,23345,93.4%
12,2015-16,24848,1613,1888,1983,2011,1892,1865,1912,1625,1702,1703,1849,1860,1538,1407,12222,49.2%,12626,50.8%,571,2.3%,6349,25.6%,17302,69.6%,307,1.2%,319,1.3%,5033,20.3%,4420,17.8%,22801,91.8%
13,2011-12,23347,896,1234,1168,1136,1115,1047,971,1095,1138,1114,3240,3271,2998,2924,11187,47.9%,12160,52.1%,4029,17.3%,13265,56.8%,3574,15.3%,265,1.1%,2214,9.5%,2632,11.3%,1057,4.5%,17575,75.3%
13,2012-13,23129,797,1271,1285,1150,1121,1047,968,942,1017,1064,3293,3184,2872,3118,11231,48.6%,11898,51.4%,4113,17.8%,12587,54.4%,3661,15.8%,440,1.9%,2328,10.1%,2698,11.7%,1001,4.3%,16814,72.7%
13,2013-14,22551,842,1215,1301,1219,1146,1039,938,828,960,995,2999,3139,2787,3143,10945,48.5%,11606,51.5%,4196,18.6%,11716,52.0%,3609,16.0%,556,2.5%,2474,11.0%,2926,13.0%,996,4.4%,16316,72.4%
13,2014-15,22253,1115,1201,1240,1242,1178,1084,941,723,755,913,3008,2929,2908,3016,10726,48.2%,11527,51.8%,4134,18.6%,11072,49.8%,3601,16.2%,672,3.0%,2774,12.5%,2952,13.3%,954,4.3%,15719,70.6%
13,2015-16,22010,1233,1168,1223,1178,1191,1106,1026,691,714,746,3014,2986,2690,3044,10592,48.1%,11418,51.9%,4166,18.9%,10521,47.8%,3572,16.2%,714,3.2%,3037,13.8%,2841,12.9%,923,4.2%,14691,66.7%
14,2011-12,21835,1781,1388,1310,1345,1400,1294,1284,1411,1341,1405,2508,2030,1630,1706,10697,49.0%,11138,51.0%,739,3.4%,5738,26.3%,12671,58.0%,118,0.5%,2569,11.8%,3806,17.4%,2482,11.4%,19553,89.5%
14,2012-13,21196,1677,1414,1400,1282,1288,1312,1236,1310,1378,1337,2391,2080,1526,1565,10167,48.0%,11029,52.0%,794,3.7%,5312,25.1%,12420,58.6%,161,0.8%,2509,11.8%,3833,18.1%,2374,11.2%,19203,90.6%
14,2013-14,21064,1600,1413,1459,1366,1219,1279,1234,1274,1322,1378,1979,2132,1795,1614,10084,47.9%,10980,52.1%,849,4.0%,5109,24.3%,12421,59.0%,205,1.0%,2480,11.8%,4119,19.6%,2295,10.9%,18958,90.0%
14,2014-15,20761,1701,1317,1393,1359,1257,1170,1204,1291,1234,1300,2147,1975,1645,1768,9934,47.8%,10827,52.2%,846,4.1%,4774,23.0%,12155,58.5%,319,1.5%,2667,12.8%,4071,19.6%,2286,11.0%,18244,87.9%
14,2015-16,19995,1557,1275,1303,1360,1299,1247,1107,1262,1273,1220,1975,1862,1568,1687,9497,47.5%,10498,52.5%,869,4.3%,4474,22.4%,11693,58.5%,354,1.8%,2605,13.0%,3929,19.6%,2102,10.5%,17130,85.7%
15,2011-12,28772,2222,2986,2995,2854,2644,2546,2382,1716,1586,1697,1498,1563,1144,939,14583,50.7%,14189,49.3%,3991,13.9%,5064,17.6%,12453,43.3%,401,1.4%,6863,23.9%,5038,17.5%,4721,16.4%,20138,70.0%
15,2012-13,29627,1887,3172,3182,2974,2802,2601,2475,1765,1675,1657,1683,1688,987,1079,15008,50.7%,14619,49.3%,4462,15.1%,4919,16.6%,12287,41.5%,521,1.8%,7438,25.1%,5399,18.2%,5116,17.3%,20885,70.5%
15,2013-14,30729,2096,3228,3316,3113,2907,2744,2529,1772,1723,1684,1668,1649,1234,1066,15455,50.3%,15274,49.7%,4806,15.6%,4831,15.7%,12375,40.3%,679,2.2%,8038,26.2%,5844,19.0%,5189,16.9%,21419,69.7%
15,2014-15,31916,2457,3233,3252,3262,3004,2836,2683,1772,1753,1708,1721,1735,1312,1188,16094,50.4%,15822,49.6%,5110,16.0%,4866,15.2%,12493,39.1%,786,2.5%,8661,27.1%,5840,18.3%,5528,17.3%,21614,67.7%
15,2015-16,32630,2743,3202,3220,3161,3107,2917,2738,1949,1744,1761,1674,1748,1366,1300,16457,50.4%,16173,49.6%,5186,15.9%,4800,14.7%,12438,38.1%,972,3.0%,9234,28.3%,5849,17.9%,5178,15.9%,21546,66.0%
16,2011-12,10354,972,751,809,783,758,774,761,675,684,632,594,644,763,754,4933,47.6%,5421,52.4%,124,1.2%,8393,81.1%,1642,15.9%,96,0.9%,99,1.0%,2118,20.5%,397,3.8%,8883,85.8%
16,2012-13,9634,864,662,792,736,759,751,706,569,645,665,533,549,544,859,4581,47.6%,5053,52.4%,131,1.4%,7728,80.2%,1605,16.7%,75,0.8%,95,1.0%,2028,21.1%,408,4.2%,8525,88.5%
16,2013-14,9063,889,660,690,727,705,700,605,522,549,641,538,543,480,814,4328,47.8%,4735,52.2%,137,1.5%,7208,79.5%,1535,16.9%,79,0.9%,104,1.1%,2060,22.7%,380,4.2%,8114,89.5%
16,2014-15,8314,817,643,604,622,668,644,588,426,514,511,552,511,482,732,3967,47.7%,4347,52.3%,140,1.7%,6496,78.1%,1476,17.8%,99,1.2%,103,1.2%,1939,23.3%,378,4.5%,7227,86.9%
16,2015-16,7687,805,527,596,578,606,616,567,382,403,490,523,521,476,597,3633,47.3%,4054,52.7%,117,1.5%,5916,77.0%,1425,18.5%,109,1.4%,120,1.6%,1771,23.0%,317,4.1%,6574,85.5%
17,2011-12,27353,1634,1705,1862,1850,1905,1856,1755,2041,2098,2124,2369,2485,1801,1868,14088,51.5%,13265,48.5%,583,2.1%,22387,81.8%,3374,12.3%,256,0.9%,753,2.8%,3729,13.6%,2598,9.5%,23714,86.7%
17,2012-13,26500,1714,1655,1846,1747,1710,1773,1637,1931,2015,2094,2401,2402,1785,1790,13467,50.8%,13033,49.2%,573,2.2%,21386,80.7%,3398,12.8%,372,1.4%,771,2.9%,3844,14.5%,2585,9.8%,23421,88.4%
17,2013-14,25604,1782,1531,1750,1759,1672,1564,1571,1725,1914,1955,2203,2387,1911,1880,12957,50.6%,12647,49.4%,581,2.3%,20481,80.0%,3422,13.4%,419,1.6%,701,2.7%,4017,15.7%,2502,9.8%,22575,88.2%
17,2014-15,25523,2310,1549,1559,1659,1641,1598,1399,1687,1784,1903,2254,2210,1959,2011,12773,50.0%,12750,50.0%,599,2.3%,20095,78.7%,3574,14.0%,477,1.9%,778,3.0%,4156,16.3%,2382,9.3%,22045,86.4%
17,2015-16,24497,2359,1448,1540,1494,1540,1566,1423,1466,1702,1778,2095,2229,1754,2103,12252,50.0%,12245,50.0%,607,2.5%,18923,77.2%,3656,14.9%,512,2.1%,799,3.3%,3909,16.0%,2258,9.2%,20361,83.1%
18,2011-12,18592,675,1247,1431,1421,1594,1667,1604,1463,1451,1534,1229,1336,972,968,9213,49.6%,9379,50.4%,191,1.0%,16804,90.4%,1217,6.5%,106,0.6%,274,1.5%,2729,14.7%,1032,5.6%,15659,84.2%
18,2012-13,18050,682,1322,1354,1413,1419,1552,1514,1393,1431,1470,1196,1361,953,990,8978,49.7%,9072,50.3%,189,1.0%,16272,90.1%,1127,6.2%,132,0.7%,330,1.8%,2816,15.6%,913,5.1%,15392,85.3%
18,2013-14,17614,799,1148,1386,1308,1437,1385,1329,1367,1373,1467,1146,1281,1141,1047,8709,49.4%,8904,50.6%,198,1.1%,15662,88.9%,1157,6.6%,180,1.0%,417,2.4%,2991,17.0%,895,5.1%,14856,84.3%
18,2014-15,17452,1277,1162,1256,1319,1275,1403,1205,1187,1325,1339,1314,1294,1051,1045,8569,49.1%,8883,50.9%,213,1.2%,15318,87.8%,1270,7.3%,258,1.5%,393,2.3%,2946,16.9%,815,4.7%,14450,82.8%
18,2015-16,16991,1437,1112,1237,1170,1321,1281,1311,1036,1171,1332,1168,1301,1073,1041,8338,49.1%,8653,50.9%,213,1.3%,14842,87.4%,1225,7.2%,295,1.7%,416,2.4%,2891,17.0%,758,4.5%,13474,79.3%
19,2011-12,25890,1715,1941,2140,2012,2116,2110,1989,1882,1863,1874,1763,1535,1307,1643,12459,48.1%,13431,51.9%,1566,6.0%,13347,51.6%,10413,40.2%,233,0.9%,331,1.3%,3808,14.7%,3062,11.8%,23494,90.7%
19,2012-13,25374,1671,1973,2082,2030,1959,1923,1983,1812,1800,1847,1853,1621,1184,1636,12145,47.9%,13229,52.1%,1583,6.2%,12876,50.7%,10284,40.5%,271,1.1%,360,1.4%,4084,16.1%,2930,11.5%,23064,90.9%
19,2013-14,24798,1693,1894,2070,2004,1975,1896,1816,1792,1764,1803,1749,1455,1174,1713,11794,47.6%,13004,52.4%,1555,6.3%,12338,49.8%,10206,41.2%,335,1.4%,364,1.5%,4560,18.4%,2791,11.3%,22518,90.8%
19,2014-15,24163,2015,1718,1909,1992,1887,1912,1742,1638,1789,1764,1653,1452,1253,1439,11487,47.5%,12676,52.5%,1634,6.8%,11720,48.5%,10079,41.7%,343,1.4%,387,1.6%,4675,19.3%,2767,11.5%,21623,89.5%
19,2015-16,24062,1976,1871,1878,1892,1948,1904,1879,1577,1666,1776,1740,1394,1053,1508,11479,47.7%,12583,52.3%,1715,7.1%,11410,47.4%,10178,42.3%,392,1.6%,367,1.5%,4512,18.8%,2749,11.4%,20868,86.7%
20,2011-12,47421,3013,3913,3811,3714,3513,3313,3163,3599,3463,3528,3671,3964,2405,2351,22471,47.4%,24950,52.6%,18754,39.5%,1849,3.9%,12337,26.0%,178,0.4%,14303,30.2%,6445,13.6%,11795,24.9%,38944,82.1%
20,2012-13,48425,2608,4028,4169,3787,3663,3521,3318,3456,3676,3584,3937,3784,2368,2526,23088,47.7%,25337,52.3%,19564,40.4%,1773,3.7%,12658,26.1%,278,0.6%,14152,29.2%,6741,13.9%,12144,25.1%,38427,79.4%
20,2013-14,49506,2333,4029,4290,4160,3852,3671,3532,3589,3494,3838,3879,3628,2640,2571,23574,47.6%,25932,52.4%,20585,41.6%,1800,3.6%,12966,26.2%,371,0.7%,13784,27.8%,7095,14.3%,12176,24.6%,40092,81.0%
20,2014-15,51080,2695,4181,4231,4220,4160,3869,3678,3790,3676,3581,3929,3872,2440,2758,24519,48.0%,26561,52.0%,21430,42.0%,1698,3.3%,13385,26.2%,424,0.8%,14143,27.7%,7279,14.3%,12580,24.6%,41310,80.9%
20,2015-16,52932,3778,3984,4362,4164,4157,4173,3836,3898,3834,3745,3646,3941,2718,2696,25545,48.3%,27387,51.7%,22481,42.5%,1652,3.1%,13835,26.1%,499,0.9%,14465,27.3%,7427,14.0%,12217,23.1%,41781,78.9%
21,2011-12,34964,1977,2083,2140,2151,1934,1959,1958,2649,2621,2748,3613,3995,2540,2596,17043,48.7%,17921,51.3%,8750,25.0%,6310,18.0%,8242,23.6%,218,0.6%,11444,32.7%,5416,15.5%,5471,15.6%,26973,77.1%
21,2012-13,34922,2089,2196,2155,2094,2173,1938,1913,2759,2702,2665,3320,3633,2649,2636,17030,48.8%,17892,51.2%,8731,25.0%,5930,17.0%,8407,24.1%,273,0.8%,11581,33.2%,5658,16.2%,5323,15.2%,27752,79.5%
21,2013-14,34943,1972,2163,2316,2121,2097,2086,1893,2740,2740,2752,3395,3237,2588,2843,16966,48.6%,17977,51.4%,8761,25.1%,5669,16.2%,8675,24.8%,357,1.0%,11481,32.9%,5859,16.8%,5195,14.9%,27634,79.1%
