District,Year,Total Enrollment,Grade PK,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Other,% Other,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty
26,2012-13,32003,1235,1804,1727,1671,1790,1720,1707,1857,1931,1891,3948,3610,3412,3700,15781,49.3%,16222,50.7%,16186,50.6%,4224,13.2%,5284,16.5%,412,1.3%,5897,18.4%,3956,12.4%,2494,7.8%,18273,57.1%
26,2013-14,31982,1271,1800,1898,1756,1719,1856,1736,1922,1868,1969,4198,3508,3340,3141,15604,48.8%,16378,51.2%,16296,51.0%,4024,12.6%,5383,16.8%,516,1.6%,5763,18.0%,4157,13.0%,2406,7.5%,18334,57.3%
26,2014-15,32273,1477,1850,1861,1951,1770,1756,1877,1905,1914,1925,4279,3547,3307,2854,15754,48.8%,16519,51.2%,16616,51.5%,3943,12.2%,5480,17.0%,573,1.8%,5661,17.5%,4278,13.3%,2336,7.2%,18439,57.1%
26,2015-16,32780,1661,1805,1857,1890,1965,1813,1779,2018,1904,1976,4138,3773,3212,2989,15976,48.7%,16804,51.3%,16957,51.7%,3886,11.9%,5557,17.0%,631,1.9%,5749,17.5%,4314,13.2%,2108,6.4%,18218,55.6%
27,2011-12,47511,2500,3763,3757,3631,3713,3611,3642,3718,3710,3836,3407,3140,2958,2125,22951,48.3%,24560,51.7%,11368,23.9%,13261,27.9%,17116,36.0%,816,1.7%,4950,10.4%,6699,14.1%,4455,9.4%,39419,83.0%
27,2012-13,47203,2590,3908,3711,3708,3552,3630,3531,3805,3696,3711,3420,3050,2691,2200,22727,48.1%,24476,51.9%,11282,23.9%,12932,27.4%,16914,35.8%,1149,2.4%,4926,10.4%,6918,14.7%,4245,9.0%,38996,82.6%
27,2013-14,45926,2518,3707,3859,3612,3529,3480,3570,3578,3679,3649,3229,2727,2624,2165,21935,47.8%,23991,52.2%,10734,23.4%,12114,26.4%,16839,36.7%,1588,3.5%,4651,10.1%,7248,15.8%,4068,8.9%,38459,83.7%
27,2014-15,46094,2817,3542,3748,3844,3536,3486,3493,3644,3614,3714,3403,2562,2514,2177,22042,47.8%,24052,52.2%,10540,22.9%,11573,25.1%,17340,37.6%,1944,4.2%,4697,10.2%,7606,16.5%,4424,9.6%,38267,83.0%
27,2015-16,46045,3248,3514,3631,3732,3766,3564,3531,3598,3657,3594,3096,2706,2253,2155,21966,47.7%,24079,52.3%,10560,22.9%,11220,24.4%,17449,37.9%,2045,4.4%,4771,10.4%,7458,16.2%,4335,9.4%,37052,80.5%
28,2011-12,39358,2388,2729,2746,2747,2723,2583,2550,2584,2292,2327,3980,3733,3079,2897,19460,49.4%,19898,50.6%,11765,29.9%,10541,26.8%,9784,24.9%,888,2.3%,6380,16.2%,5210,13.2%,4213,10.7%,29013,73.7%
28,2012-13,39643,2075,2826,2863,2749,2671,2636,2503,2401,2439,2277,3990,3763,3319,3131,19779,49.9%,19864,50.1%,11586,29.2%,10036,25.3%,10136,25.6%,1349,3.4%,6536,16.5%,5253,13.3%,4075,10.3%,29652,74.8%
28,2013-14,40444,2142,2835,2957,2807,2711,2561,2617,2404,2327,2456,3954,3904,3392,3377,20112,49.7%,20332,50.3%,11748,29.0%,9982,24.7%,10501,26.0%,1649,4.1%,6564,16.2%,5645,14.0%,3910,9.7%,30214,74.7%
28,2014-15,41339,2613,2814,2958,2855,2795,2694,2514,2435,2386,2383,4108,3812,3555,3417,20451,49.5%,20888,50.5%,11914,28.8%,9980,24.1%,11054,26.7%,1877,4.5%,6514,15.8%,5881,14.2%,3839,9.3%,31502,76.2%
28,2015-16,42337,3107,2933,2884,2897,2848,2699,2633,2458,2429,2396,3967,4099,3485,3502,20826,49.2%,21511,50.8%,12142,28.7%,9907,23.4%,11399,26.9%,2031,4.8%,6858,16.2%,5931,14.0%,3831,9.0%,29898,70.6%
29,2011-12,28236,1701,2432,2564,2548,2513,2592,2625,2395,2470,2610,1348,979,741,718,13942,49.4%,14294,50.6%,4166,14.8%,19271,68.2%,3769,13.3%,449,1.6%,581,2.1%,3706,13.1%,2010,7.1%,23056,81.7%
29,2012-13,27889,1456,2478,2663,2487,2532,2469,2564,2355,2479,2464,1272,1134,824,712,13712,49.2%,14177,50.8%,4223,15.1%,18767,67.3%,3770,13.5%,564,2.0%,565,2.0%,3904,14.0%,1969,7.1%,22680,81.3%
29,2013-14,27645,1575,2379,2707,2561,2438,2470,2422,2209,2374,2462,1200,1090,945,813,13569,49.1%,14076,50.9%,4189,15.2%,18465,66.8%,3804,13.8%,684,2.5%,503,1.8%,4212,15.2%,1893,6.8%,22628,81.9%
29,2014-15,28167,2361,2262,2472,2641,2517,2424,2387,2196,2230,2382,1348,1076,954,917,13764,48.9%,14403,51.1%,4204,14.9%,18669,66.3%,3983,14.1%,810,2.9%,501,1.8%,4379,15.5%,1982,7.0%,22688,80.5%
29,2015-16,28007,2262,2382,2315,2424,2614,2519,2359,2244,2265,2233,1215,1221,957,997,13649,48.7%,14358,51.3%,4218,15.1%,18209,65.0%,4077,14.6%,1016,3.6%,487,1.7%,4246,15.2%,1947,7.0%,21742,77.6%
30,2011-12,41463,2588,3207,3198,3115,3124,3018,3100,3424,3057,3077,2946,3127,2406,2076,20578,49.6%,20885,50.4%,9417,22.7%,3112,7.5%,22263,53.7%,276,0.7%,6395,15.4%,5219,12.6%,8473,20.4%,34353,82.9%
30,2012-13,41418,2627,3291,3352,3103,2993,3103,3083,3351,3239,3068,2606,2899,2299,2404,20478,49.4%,20940,50.6%,9373,22.6%,3019,7.3%,22184,53.6%,421,1.0%,6421,15.5%,5436,13.1%,8143,19.7%,35043,84.6%
30,2013-14,41218,2639,3131,3408,3219,3085,2910,3125,3400,3232,3290,2756,2706,2080,2237,20335,49.3%,20883,50.7%,9200,22.3%,2923,7.1%,22154,53.7%,504,1.2%,6437,15.6%,5682,13.8%,7751,18.8%,35079,85.1%
30,2014-15,41470,3087,3222,3225,3328,3134,3050,2902,3423,3215,3241,2926,2758,1930,2029,20467,49.4%,21003,50.6%,9207,22.2%,2852,6.9%,22264,53.7%,653,1.6%,6494,15.7%,5781,13.9%,7577,18.3%,35333,85.2%
30,2015-16,41300,3177,3179,3216,3107,3238,3030,3052,3215,3324,3186,2870,2651,2023,2032,20414,49.4%,20886,50.6%,9087,22.0%,2826,6.8%,22127,53.6%,752,1.8%,6508,15.8%,5660,13.7%,6835,16.5%,33914,82.1%
31,2011-12,62036,3579,4650,4638,4622,4801,4623,4370,4301,4157,4277,5479,4847,4049,3643,30253,48.8%,31783,51.2%,5064,8.2%,8719,14.1%,15386,24.8%,515,0.8%,32352,52.2%,12114,19.5%,3454,5.6%,34671,55.9%
31,2012-13,61898,3521,4677,4760,4560,4623,4710,4604,4108,4246,4193,5319,4800,4095,3682,30040,48.5%,31858,51.5%,5088,8.2%,8345,13.5%,15838,25.6%,747,1.2%,31880,51.5%,12709,20.5%,3309,5.3%,35285,57.0%
31,2013-14,62021,3536,4666,4807,4635,4504,4532,4706,4235,4080,4280,5186,4975,4048,3831,30162,48.6%,31858,51.4%,5077,8.2%,8150,13.1%,16422,26.5%,932,1.5%,31440,50.7%,13473,21.7%,3177,5.1%,35364,57.0%
31,2014-15,62335,3905,4602,4810,4693,4625,4485,4508,4303,4286,4127,5102,4954,4202,3733,30382,48.7%,31953,51.3%,5128,8.2%,8147,13.1%,17030,27.3%,980,1.6%,31050,49.8%,13788,22.1%,3182,5.1%,35553,57.0%
31,2015-16,62638,4124,4520,4708,4745,4698,4627,4497,4207,4305,4311,4920,4750,4310,3916,30469,48.6%,32169,51.4%,5343,8.5%,8142,13.0%,17368,27.7%,1173,1.9%,30612,48.9%,13755,22.0%,3135,5.0%,34602,55.2%
32,2011-12,15665,1194,1299,1309,1275,1267,1220,1308,1327,1329,1310,636,967,568,656,7791,49.7%,7874,50.3%,279,1.8%,3315,21.2%,11772,75.1%,85,0.5%,214,1.4%,2308,14.7%,3001,19.2%,14621,93.3%
32,2012-13,14910,1092,1181,1277,1201,1227,1147,1180,1334,1304,1269,732,959,499,508,7379,49.5%,7531,50.5%,256,1.7%,3032,20.3%,11336,76.0%,80,0.5%,206,1.4%,2392,16.0%,2780,18.6%,13968,93.7%
32,2013-14,14636,1226,1091,1221,1203,1155,1171,1149,1229,1289,1269,644,875,572,542,7253,49.6%,7383,50.4%,264,1.8%,2856,19.5%,11191,76.5%,106,0.7%,219,1.5%,2627,17.9%,2608,17.8%,13800,94.3%
32,2014-15,14011,1433,996,1059,1118,1098,1091,1090,1128,1192,1237,642,878,534,515,6886,49.1%,7125,50.9%,269,1.9%,2569,18.3%,10848,77.4%,81,0.6%,244,1.7%,2532,18.1%,2567,18.3%,13239,94.5%
32,2015-16,13104,1279,930,979,983,1033,1014,1050,1115,1100,1189,553,851,500,528,6419,49.0%,6685,51.0%,258,2.0%,2291,17.5%,10245,78.2%,80,0.6%,230,1.8%,2351,17.9%,2382,18.2%,11971,91.4%
75,2011-12,22895,347,1149,1323,1411,1536,1595,1592,1547,1568,1529,2008,1843,1490,3957,6217,27.2%,16678,72.8%,1402,6.1%,9533,41.6%,8555,37.4%,271,1.2%,3134,13.7%,21702,94.8%,3613,15.8%,19670,85.9%
75,2012-13,23473,328,1362,1434,1507,1554,1605,1658,1519,1562,1652,2200,1590,1483,4019,6407,27.3%,17066,72.7%,1530,6.5%,9358,39.9%,8902,37.9%,493,2.1%,3190,13.6%,22184,94.5%,4042,17.2%,22783,97.1%
75,2013-14,23304,323,1513,1651,1599,1621,1570,1577,1547,1524,1565,2043,1641,1251,3879,6281,27.0%,17023,73.0%,1480,6.4%,8882,38.1%,8815,37.8%,1092,4.7%,3035,13.0%,22755,97.6%,4253,18.3%,23046,98.9%
75,2014-15,23472,301,1368,1773,1742,1665,1639,1600,1477,1561,1533,1987,1697,1360,3769,6351,27.1%,17121,72.9%,1627,6.9%,8961,38.2%,9359,39.9%,358,1.5%,3167,13.5%,22936,97.7%,4522,19.3%,23271,99.1%
75,2015-16,23963,317,1411,1632,1878,1815,1702,1644,1500,1508,1589,1998,1733,1495,3741,6542,27.3%,17421,72.7%,1700,7.1%,8968,37.4%,9575,40.0%,468,2.0%,3252,13.6%,23451,97.9%,4714,19.7%,23751,99.1%
79,2011-12,6224,0,0,0,0,0,0,0,7,31,74,959,4754,212,187,2060,33.1%,4164,66.9%,431,6.9%,2805,45.1%,2580,41.5%,111,1.8%,297,4.8%,1504,24.2%,1371,22.0%,4988,80.1%
79,2012-13,5671,0,0,0,0,0,0,1,7,31,87,914,4320,198,113,1878,33.1%,3793,66.9%,392,6.9%,2655,46.8%,2291,40.4%,78,1.4%,255,4.5%,1381,24.4%,1324,23.3%,2942,51.9%
79,2013-14,5574,0,0,0,0,0,1,2,10,39,90,869,4276,167,120,1985,35.6%,3589,64.4%,406,7.3%,2557,45.9%,2258,40.5%,92,1.7%,261,4.7%,811,14.5%,1287,23.1%,3156,56.6%
79,2014-15,4934,0,0,0,0,0,0,1,10,34,136,703,3792,164,94,1751,35.5%,3183,64.5%,417,8.5%,2115,42.9%,1932,39.2%,94,1.9%,376,7.6%,1020,20.7%,822,16.7%,2580,52.3%
79,2015-16,5411,0,0,0,0,1,1,2,5,32,149,493,3904,126,698,1929,35.6%,3482,64.4%,516,9.5%,2127,39.3%,2274,42.0%,111,2.1%,383,7.1%,924,17.1%,755,14.0%,2494,46.1%
84,2011-12,47988,0,6390,6619,5919,4577,3353,4429,4227,3433,2325,2582,1774,1543,817,24513,51.1%,23475,48.9%,820,1.7%,28910,60.2%,15919,33.2%,768,1.6%,1571,3.3%,6427,13.4%,2803,5.8%,38634,80.5%
84,2012-13,58797,0,7728,7407,6806,5859,4372,5431,5139,4073,3285,3530,2264,1605,1298,30172,51.3%,28625,48.7%,1161,2.0%,34553,58.8%,20171,34.3%,954,1.6%,1958,3.3%,8375,14.2%,3668,6.2%,47509,80.8%
84,2013-14,71905,0,9670,9045,7701,6746,5601,6630,6593,4930,3894,4736,2974,1948,1437,36671,51.0%,35234,49.0%,1516,2.1%,41388,57.6%,25078,34.9%,1287,1.8%,2636,3.7%,11208,15.6%,4541,6.3%,57265,79.6%
84,2014-15,84717,194,10575,10681,9011,7659,6530,7567,7754,6503,4765,5258,3795,2542,1883,43183,51.0%,41534,49.0%,1909,2.3%,47728,56.3%,30352,35.8%,1442,1.7%,3286,3.9%,13374,15.8%,5285,6.2%,66053,78.0%
84,2015-16,95172,510,10575,10948,10582,8753,7229,7804,9046,7517,6150,5849,4391,3346,2472,48395,50.9%,46777,49.1%,2308,2.4%,52225,54.9%,34871,36.6%,1833,1.9%,3935,4.1%,14646,15.4%,6010,6.3%,69339,72.9%
